index,common.name,Citation,occurrence,total.sample.size,ocean,years,year.start.x,year.end.x,decade max,decamde min,decade middle,IUCN.red.list..search.paper.clasifying.ocean.,species,Latitude..decimal.final.,Longitud..degrees.final.
226,Tiger sharks ,"(Trystram et al., 2017)",7,30,Ind,2.416438356,01/08/2012,31/12/2014,110,110,110,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",-21.02138889,55.21166667
227,Whale Sharks,"(Yong et al., 2021)",47,99,Npac,7.002739726,01/11/2012,01/11/2019,110,110,110,en, Rhincodon typus  (Smith 1828),9.466666667,123.3833333
51,Gervais’ beaked whale ,"(Hayes et al., 2020)",1,12,Natl,5,01/01/2013,31/12/2017,110,110,110,lc,"Mesoplodon europaeus (Gervais, 1855)",32.50888889,-79.65972222
94,Green turtle,"(Petry et al., 2021)",15,17,Satl,4,01/01/2013,31/12/2016,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-30.845,-50.54222222
101,Green turtle,"(Rizzi, 2018)",39,48,Satl,5,01/01/2013,31/12/2017,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-32.73027778,-52.29194444
128,Hawksbill turtle ,"(Rizzi, 2018)",1,2,Satl,5,01/01/2013,31/12/2017,110,110,110,cr,"Eretmochelys imbricata (Linneaus, 1766)",-32.17,-52.0125
173,Leatherback turtle ,"(Rizzi, 2018)",1,4,Satl,5,01/01/2013,31/12/2017,110,110,110,vu,"Dermochelys coriacea (Vandelli, 1761)",-32.17,-52.0125
2,Atlantic bluefin tuna ,"(Jansen et al., 2021)",0,18,Art,4,01/01/2014,31/12/2017,110,110,110,lc,Thunnus thynnus ,78.31166667,-15.06583333
91,Green turtle,"(Nunes et al., 2021)",37,40,Satl,1.84109589,17/02/2014,21/12/2015,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-25.49527778,-48.52472222
16,Black noddy ,"(Berr et al., 2020)",0,4,Spac,4,01/01/2015,31/12/2018,110,110,110,lc,"Anous minutus (Boie, 1844)",-21.2,165.9
39,Brown noddy ,"(Berr et al., 2020)",0,1,Spac,4,01/01/2015,31/12/2018,110,110,110,lc,"Anous stolidus (Linnaeus, 1758)",-21.2,165.9
67,Green turtle,"(Duncan et al., 2021)",18,22,Ind,5,01/01/2015,31/12/2019,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-25.78138889,113.2880556
68,Green turtle,"(Duncan et al., 2021)",2,22,,5,01/01/2015,31/12/2019,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-25.78138889,113.2880556
120,Hawksbill turtle ,"(Duncan et al., 2021)",0,2,Ind,5,01/01/2015,31/12/2019,110,110,110,cr,"Eretmochelys imbricata (Linneaus, 1766)",-25.78138889,113.2880556
185,Red- footed booby,"(Berr et al., 2020)",0,1,Spac,4,01/01/2015,31/12/2018,110,110,110,lc,"Sula sula (Linnaeus, 1766) ",-21.2,165.9
197,Sooty tern (aka Wideawake tern),"(Berr et al., 2020)",0,1,Spac,4,01/01/2015,31/12/2018,110,110,110,lc,"Onychoprion fuscatus (Linnaeus, 1766)",-21.2,165.9
23,Blue shark ,"(Hamdi et al., 2018)",2,84,Ind,2.002739726,Feb-15,Feb-17,110,110,110,nt,"Prionace glauca (Linnaeus, 1758)",33.6125,-8.694166667
70,Green turtle,"(E. M. White et al., 2018)",4,4,Natl,1.339726027,01/07/2015,01/11/2016,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",26.88083333,-80.04972222
122,Hawksbill turtle ,"(E. M. White et al., 2018)",1,2,Natl,1.339726027,01/07/2015,01/11/2016,110,110,110,cr,"Eretmochelys imbricata (Linneaus, 1766)",26.88083333,-80.04972222
171,Leatherback turtle ,"(Nagaoka et al., 2019)",4,18,Satl,1.917808219,01/08/2015,01/07/2017,110,110,110,vu,"Dermochelys coriacea (Vandelli, 1761)",-24.76972222,-47.55666667
196,Skipjack tuna ,"(Markic et al., 2018)",6,26,Spac,1.084931507,01/09/2015,01/10/2016,110,110,110,lc,Katsuwonus pelamis ,-13.48694444,-172.2433333
239,Yellowfin tuna ,"(Markic et al., 2018)",7,10,Spac,1.084931507,01/09/2015,01/10/2016,110,110,110,lc,Thunnus albacares ,-27.16194444,-109.3322222
240,Yellowfin tuna ,"(Markic et al., 2018)",7,33,Spac,1.084931507,01/09/2015,01/10/2016,110,110,110,lc,Thunnus albacares ,-17.48555556,-149.3741667
241,Yellowfin tuna ,"(Markic et al., 2018)",8,25,Spac,1.084931507,01/09/2015,01/10/2016,110,110,110,lc,Thunnus albacares ,-13.48694444,-172.2433333
115,Green turtle,"(Yaghmour et al., 2018)",12,14,Ind,2,01/01/2016,31/12/2017,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",25.215,56.38111111
132,Hawksbill turtle ,"(Yaghmour et al., 2018)",5,6,Ind,5.791780822,01/01/2016,15/10/2021,110,120,120,cr,"Eretmochelys imbricata (Linneaus, 1766)",25.36972222,56.36638889
102,Green turtle,"(Rosolem Lima et al., 2018)",79,177,Satl,1.084931507,01/08/2016,01/09/2017,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-22.73055556,-41.7
174,Leatherback turtle ,"(Rosolem Lima et al., 2018)",1,9,Satl,1.084931507,01/08/2016,01/09/2017,110,110,110,vu,"Dermochelys coriacea (Vandelli, 1761)",-22.58666667,-41.98444444
27,Bottlenose dolphin ,"(Battaglia et al., 2020)",7,7,Natl,1.246575342,01/01/2017,01/04/2018,110,110,110,lc,"Tursiops truncatus (Montagu, 1821)",32.8875,-79.28166667
96,Green turtle,"(Prampramote et al., 2022)",24,108,Npac,3.580821918,01/01/2017,31/07/2020,110,120,120,en,"Chelonia mydas (Linnaeus, 1758)",10.32194444,100.8058333
188,Red-billed tropic bird,"(Madden & Eggermont, 2020)",1,47,Natl,1.997260274,01/01/2018,31/12/2019,110,110,110,lc,"Phaethon aethereus (Linnaeus, 1758)",17.50805556,-62.96805556
137,Leach’s strom petrel ,"(Krug et al., 2021)",2,3,Natl,2.74E-03,11/10/2018,12/10/2018,110,110,110,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",44.70722222,-62.17611111
138,Leach’s strom petrel ,"(Krug et al., 2021)",84,96,Natl,2.74E-03,11/10/2018,12/10/2018,110,110,110,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",47.48805556,-53.09111111
60,Green turtle,"(Choi et al., 2021)",120,183,Natl,1,01/01/2019,01/01/2020,110,120,120,en,"Chelonia mydas (Linnaeus, 1758)",28.37111111,-95.7175
38,Brown booby  ,"(Vanstreels et al., 2021)",3,13,Satl,2.169863014,20/04/2019,20/06/2021,110,120,120,lc,"Sula leucogaster (Boddaert, 1783)",-20.00888889,-39.99416667
190,Red-billed tropic bird,"(Vanstreels et al., 2021)",0,1,Natl,2.169863014,20/04/2019,20/06/2021,110,120,120,lc,"Phaethon aethereus (Linnaeus, 1758)",-19.72111111,-39.88333333
12,Band-rumped Storm petrel,"(Navarro et al., 2022)",5,5,Natl,2,01/01/2020,31/12/2021,120,120,120,lc,"Hydrobates castro (del Hoyo and Collar 2014)/Oceanodroma castro (Harcourt, 1851)",28.27,-16.94972222
140,Leach’s strom petrel ,"(Navarro et al., 2022)",0,1,Natl,2,01/01/2020,31/12/2021,120,120,120,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",28.27,-16.94972222
136,Leach’s strom petrel ,"(D’entremont et al., 2021)",1,17,Natl,5.48E-03,15/07/2020,17/07/2020,120,120,120,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",47.38861111,-53.1275
