index,common.name,Citation,occurrence,total.sample.size,ocean,years,year.start.x,year.end.x,decade max,decamde min,decade middle,IUCN.red.list..search.paper.clasifying.ocean.,species,Latitude..decimal.final.,Longitud..degrees.final.
47,Fairy tern (aka White tern) ,"(Sileo et al., 1990)",0,35,Npac,1.997260274,01/01/1986,31/12/1987,80,80,80,lc,"Gygis alba (Sparrman, 1786)",21.43888889,-158.2
95,Green turtle,"(Plotkin & Amos, 1988)",3,9,Natl,1.997260274,01/01/1986,31/12/1987,80,80,80,en,"Chelonia mydas (Linnaeus, 1758)",27.59305556,-97.17833333
106,Green turtle,"(Stanley et al., 1988)",2,2,Natl,1.830136986,01/01/1986,31/10/1987,80,80,80,en,"Chelonia mydas (Linnaeus, 1758)",28.37111111,-95.7175
126,Hawksbill turtle ,"(Plotkin & Amos, 1988)",6,25,Natl,1.997260274,01/01/1986,31/12/1987,80,80,80,cr,"Eretmochelys imbricata (Linneaus, 1766)",27.59305556,-97.17833333
187,Red- footed booby,"(Sileo et al., 1990)",3,169,Npac,1.997260274,01/01/1986,31/12/1987,80,80,80,lc,"Sula sula (Linnaeus, 1766) ",18.34222222,-162.4802778
201,Sooty tern (aka Wideawake tern),"(Sileo et al., 1990)",3,97,Npac,1.997260274,01/01/1986,31/12/1987,80,80,80,lc,"Onychoprion fuscatus (Linnaeus, 1766)",21.43888889,-158.2
166,Leatherback turtle ,"(Mrosovsky et al., 2009)",13,21,Natl,16.9260274,01/09/1986,01/08/2003,80,100,90,vu,"Dermochelys coriacea (Vandelli, 1761)",42.16194444,-70.53055556
62,Green turtle,"(Choi et al., 2021)",55,169,Natl,13.00547945,01/01/1987,31/12/1999,80,90,90,en,"Chelonia mydas (Linnaeus, 1758)",28.37111111,-95.7175
85,Green turtle,"(Howell & Shaver, 2021)",252,420,Natl,28.01643836,01/01/1987,31/12/2014,80,110,100,en,"Chelonia mydas (Linnaeus, 1758)",28.52194444,-95.59111111
117,Hawksbill turtle ,"(Bellini et al., 2019)",4,8,Satl,31.01917808,01/01/1987,31/12/2017,80,110,100,cr,"Eretmochelys imbricata (Linneaus, 1766)",-3.840277778,-32.42777778
143,Leach’s strom petrel ,"(Robards et al., 1995)",31,64,Npac,3,01/01/1988,31/12/1990,80,90,80,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",58.48555556,-163.6116667
84,Green turtle,"(Holloway-adkins, 2001)",13,371,Natl,9.002739726,01/01/1989,31/12/1997,80,90,90,en,"Chelonia mydas (Linnaeus, 1758)",27.47833333,-80.27388889
28,Bottlenose dolphin ,"(Baulch & Perry, 2014)",0,27,Med,23.01369863,01/01/1990,31/12/2012,90,110,100,lc,"Tursiops truncatus (Montagu, 1821)",38.61166667,0.343055556
30,Bottlenose dolphin ,"(Baulch & Perry, 2014)",19,186,Med,24.01369863,01/01/1990,31/12/2013,90,110,100,lc,"Tursiops truncatus (Montagu, 1821)",43.67444444,15.34944444
34,Bottlenose dolphin ,"(Lusher et al., 2018)",3,17,Natl,26.01369863,01/01/1990,31/12/2015,90,110,100,lc,"Tursiops truncatus (Montagu, 1821)",52.505,-10.81777778
93,Green turtle,"(Parker et al., 2011)",7,10,Npac,15.00821918,01/01/1990,31/12/2004,90,100,100,en,"Chelonia mydas (Linnaeus, 1758)",20.51666667,-156.15
142,Leach’s strom petrel ,"(Robards et al., 1995)",2,3,Npac,1.997260274,01/01/1990,31/12/1991,90,90,90,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",38,-178
213,Sperm whale ,"(Lusher et al., 2018)",0,2,Natl,26.01369863,01/01/1990,31/12/2015,90,110,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",55.43027778,-7.287777778
32,Bottlenose dolphin ,"(González et al., 1994)",2,14,Natl,2.164383562,01/01/1991,01/03/1993,90,90,90,lc,"Tursiops truncatus (Montagu, 1821)",42.40361111,-8.981388889
110,Green turtle,"(Witherington et al., 2012)",16,18,Natl,20.0109589,01/01/1992,31/12/2011,90,110,100,en,"Chelonia mydas (Linnaeus, 1758)",28.47138889,-90.07444444
156,Leatherback turtle ,"(Godley et al., 1998)",6,28,Natl,5.002739726,01/01/1992,31/12/1996,90,90,90,vu,"Dermochelys coriacea (Vandelli, 1761)",50.53888889,-0.387777778
170,Leatherback turtle ,"(Mrosovsky et al., 2009)",6,32,Natl,12.00821918,01/04/1992,01/04/2004,90,100,90,vu,"Dermochelys coriacea (Vandelli, 1761)",32.8875,-79.28166667
69,Green turtle,"(Duncan et al., 2021)",30,36,Spac,27.01369863,01/01/1993,31/12/2019,90,110,100,en,"Chelonia mydas (Linnaeus, 1758)",-18.77805556,149.1688889
109,Green turtle,"(Wedemeyer-Strombel et al., 2015)",20,22,Npac,19.00821918,01/01/1993,31/12/2011,90,110,100,en,"Chelonia mydas (Linnaeus, 1758)",35.12583333,-157.6263889
121,Hawksbill turtle ,"(Duncan et al., 2021)",0,5,Spac,27.01369863,01/01/1993,31/12/2019,90,110,100,cr,"Eretmochelys imbricata (Linneaus, 1766)",-18.77805556,149.1688889
168,Leatherback turtle ,"(Mrosovsky et al., 2009)",2,7,Natl,5.835616438,01/01/1993,01/11/1998,90,90,90,vu,"Dermochelys coriacea (Vandelli, 1761)",51.55222222,-6.020555556
177,Leatherback turtle ,"(Wedemeyer-Strombel et al., 2015)",0,2,Npac,19.00821918,01/01/1993,31/12/2011,90,110,100,vu,"Dermochelys coriacea (Vandelli, 1761)",35.12583333,-157.6263889
204,Sperm whale ,"(Alexiadou et al., 2019)",6,10,Med,22.0109589,01/01/1993,31/12/2014,90,110,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",39.4075,23.38888889
167,Leatherback turtle ,"(Mrosovsky et al., 2009)",2,3,Natl,5.252054795,01/10/1993,31/12/1998,90,90,90,vu,"Dermochelys coriacea (Vandelli, 1761)",57.09055556,-1.962222222
123,Hawksbill turtle ,"(K. M. Hart et al., 2013)",2,17,Natl,6,01/01/1994,31/12/1999,90,90,90,cr,"Eretmochelys imbricata (Linneaus, 1766)",17.79,-63.38
100,Green turtle,"(Rice et al., 2021)",74,88,Natl,14.34794521,01/05/1994,01/09/2008,90,100,100,en,"Chelonia mydas (Linnaeus, 1758)",28.33722222,-80.215
175,Leatherback turtle ,"(Russo et al., 2003)",2,4,Med,3.917808219,01/06/1994,01/05/1998,90,90,90,vu,"Dermochelys coriacea (Vandelli, 1761)",37.07805556,13.65444444
224,Tiger sharks ,"(Simpfendorfer et al., 2001)",3,84,Ind,2.832876712,01/09/1994,01/07/1997,90,90,90,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",-22.98361111,113.1369444
33,Bottlenose dolphin ,"(Gorzelany, 1998)",2,23,Natl,1,01/01/1995,01/01/1996,90,90,90,lc,"Tursiops truncatus (Montagu, 1821)",27.50388889,-82.98194444
24,Blue shark ,"(Markaida & Sosa-Nishizaki, 2010)",29,893,Npac,2.164383562,01/04/1995,30/05/1997,90,90,90,nt,"Prionace glauca (Linnaeus, 1758)",31.7925,-116.6852778
105,Green turtle,"(Seminoff et al., 2002)",12,150,Npac,4.336986301,01/06/1995,01/10/1999,90,90,90,en,"Chelonia mydas (Linnaeus, 1758)",28.96666667,-112.45
9,Atlantic spotted dolphin,"(R. Fernández et al., 2009)",0,3,,11.00547945,01/01/1996,31/12/2006,90,100,100,lc,"Stenella frontalis (Cuvier, 1829)",28.27,-16.94972222
141,Leach’s strom petrel ,"(Post, 1998)",2,4,Natl,2,01/01/1996,31/12/1997,90,90,90,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",36.91805556,-8.03
207,Sperm whale ,"(Baulch & Perry, 2014)",1,5,Natl,10.92328767,01/01/1996,01/12/2006,90,100,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",28.68166667,-16.88305556
215,Sperm whale ,"(R. Fernández et al., 2009)",1,5,Natl,11.00547945,01/01/1996,31/12/2006,90,100,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",28.27,-16.94972222
26,Bottlenose dolphin ,"(Adimey et al., 2014)",2,1404,Natl,12.92328767,01/01/1997,01/12/2009,90,100,100,lc,"Tursiops truncatus (Montagu, 1821)",27.46861111,-93.89916667
31,Bottlenose dolphin ,"(Byrd et al., 2014)",1,1058,Natl,12.00547945,01/01/1997,31/12/2008,90,100,100,lc,"Tursiops truncatus (Montagu, 1821)",34.91583333,-75.94166667
50,Gervais’ beaked whale ,"(Byrd et al., 2014)",2,13,Natl,12.00547945,01/01/1997,31/12/2008,90,100,100,lc,"Mesoplodon europaeus (Gervais, 1855)",34.91583333,-75.94166667
134,Humpback whale ,"(Byrd et al., 2014)",0,19,Natl,12.00547945,01/01/1997,31/12/2008,90,100,100,lc,"Megaptera novaeangliae (Borowski, 1781)",34.91583333,-75.94166667
210,Sperm whale ,"(Byrd et al., 2014)",1,8,Natl,12.00547945,01/01/1997,31/12/2008,90,100,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",34.91583333,-75.94166667
59,Green turtle,"(Bugoni et al., 2001)",38,56,Satl,1,01/08/1997,01/08/1998,90,90,90,en,"Chelonia mydas (Linnaeus, 1758)",-31.44305556,-50.94472222
172,Leatherback turtle ,"(Orós et al., 2021)",3,13,Natl,20.0109589,01/01/1998,31/12/2017,90,110,100,vu,"Dermochelys coriacea (Vandelli, 1761)",28.68166667,-16.88305556
209,Sperm whale ,"(Baulch & Perry, 2014)",4,36,Ind and Spac,1,01/01/1998,01/01/1999,90,90,90,vu,"Physeter macrocephalus (Linnaeus, 1758)",-35.20361111,133.4805556
212,Sperm whale ,"(Evans & Hindell, 2004)",4,36,Spac,1,01/01/1998,01/01/1999,90,90,90,vu,"Physeter macrocephalus (Linnaeus, 1758)",-41.18972222,144.5547222
165,Leatherback turtle ,"(Mrosovsky et al., 2009)",1,9,Natl,8.090410959,01/08/1998,01/09/2006,90,100,100,vu,"Dermochelys coriacea (Vandelli, 1761)",44.70722222,-62.17611111
4,Atlantic spotted dolphin,"(Arbelo et al., 2013)",2,27,Natl,7.002739726,01/01/1999,31/12/2005,90,100,100,lc,"Stenella frontalis (Cuvier, 1829)",28.68166667,-16.88305556
22,Blue shark ,"(Bernardini et al., 2018)",24,139,Med,17.00821918,01/01/1999,31/12/2015,90,110,100,nt,"Prionace glauca (Linnaeus, 1758)",43.77222222,8.111111111
107,Green turtle,"(Vélez-Rubio et al., 2013)",56,149,Satl,12.00547945,01/01/1999,31/12/2010,90,110,100,en,"Chelonia mydas (Linnaeus, 1758)",-33.73944444,-53.36444444
230,White-faced Storm-petrel ,"(Ryan, 2008)",253,1008,Satl,8.002739726,01/01/1999,31/12/2006,90,100,100,lc,"Pelagodroma marina (Latham, 1790)",-37.08888889,-12.34083333
231,White-faced Storm-petrel ,"(Ryan, 2008)",50,126,Satl,8.002739726,01/01/1999,31/12/2006,90,100,100,lc,"Pelagodroma marina (Latham, 1790)",-37.08888889,-12.34083333
232,White-faced Storm-petrel ,"(Ryan, 2008)",86,349,Satl,8.002739726,01/01/1999,31/12/2006,90,100,100,lc,"Pelagodroma marina (Latham, 1790)",-37.08888889,-12.34083333
163,Leatherback turtle ,"(Mrosovsky et al., 2009)",1,10,Natl,5.005479452,01/05/1999,01/05/2004,90,100,100,vu,"Dermochelys coriacea (Vandelli, 1761)",34.91583333,-75.94166667
182,Masked booby,"(Mariano & Targino, 2012)",4,631,Satl,3.750684932,01/08/1999,01/05/2003,90,100,100,lc,"Sula dactylatra (Lesson, 1831)",-2.166666667,-32.18333333
161,Leatherback turtle ,"(Mrosovsky et al., 2009)",0,12,Natl,4.501369863,01/11/1999,01/05/2004,90,100,100,vu,"Dermochelys coriacea (Vandelli, 1761)",31.41,-81.15972222
5,Atlantic spotted dolphin,"(Baulch & Perry, 2014)",3,53,Natl,13.00821918,01/01/2000,31/12/2012,100,110,100,lc,"Stenella frontalis (Cuvier, 1829)",28.68166667,-16.88305556
8,Atlantic spotted dolphin,"(Puig-Lozano et al., 2018)",4,5,Natl,16.00821918,01/01/2000,31/12/2015,100,110,100,lc,"Stenella frontalis (Cuvier, 1829)",28.68166667,-16.88305556
49,Gervais’ beaked whale ,"(Baulch & Perry, 2014)",2,12,Natl,13.00821918,01/01/2000,31/12/2012,100,110,100,lc,"Mesoplodon europaeus (Gervais, 1855)",28.68166667,-16.88305556
61,Green turtle,"(Choi et al., 2021)",51,112,Natl,10.00547945,01/01/2000,31/12/2009,100,100,100,en,"Chelonia mydas (Linnaeus, 1758)",28.37111111,-95.7175
214,Sperm whale ,"(Puig-Lozano et al., 2018)",6,6,Natl,16.00821918,01/01/2000,31/12/2015,100,110,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",28.68166667,-16.88305556
57,Green turtle,"(Başkale et al., 2018)",0,37,Med,16.34794521,01/05/2000,01/09/2016,100,110,100,en,"Chelonia mydas (Linnaeus, 1758)",36.74972222,28.93638889
40,Brown noddy ,"(Cartraud et al., 2019)",3,9,Ind,15.00821918,01/01/2002,31/12/2016,100,110,100,lc,"Anous stolidus (Linnaeus, 1758)",-21.74638889,55.50583333
198,Sooty tern (aka Wideawake tern),"(Cartraud et al., 2019)",4,27,Ind,14.75890411,01/01/2002,01/10/2016,100,110,100,lc,"Onychoprion fuscatus (Linnaeus, 1766)",-21.74638889,55.50583333
234,Yellow- billed tropic bird/ white-tailed tropicbird,"(Cartraud et al., 2019)",10,35,Ind,15.00821918,01/01/2002,31/12/2016,100,110,100,lc,"Phaethon lepturus (Daudin, 1802)",-21.74638889,55.50583333
20,blue marlin ,"(Shimose et al., 2006)",3,507,Npac,3.002739726,01/02/2003,01/02/2006,100,100,100,vu,Makaira nigricans ,24.45,122.95
164,Leatherback turtle ,"(Mrosovsky et al., 2009)",1,3,Natl,3.087671233,01/07/2003,01/08/2006,100,100,100,vu,"Dermochelys coriacea (Vandelli, 1761)",37.03944444,-75.61861111
144,Leach’s strom petrel ,"(Schuiteman, 2006)",112,1595,Npac,1.917808219,01/01/2004,01/12/2005,100,100,100,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",42.25,-124.415
82,Green turtle,"(Guebert-Bartholo et al., 2011)",56,80,Satl,3.082191781,01/06/2004,01/07/2007,100,100,100,en,"Chelonia mydas (Linnaeus, 1758)",-25.49527778,-48.52472222
29,Bottlenose dolphin ,"(Baulch & Perry, 2014)",1,24,Natl,8.002739726,01/01/2005,31/12/2012,100,110,100,lc,"Tursiops truncatus (Montagu, 1821)",50.82472222,-5.040833333
108,Green turtle,"(Vélez-Rubio et al., 2018)",65,93,Satl,9.002739726,01/01/2005,31/12/2013,100,110,100,en,"Chelonia mydas (Linnaeus, 1758)",-35.01916667,-55.00722222
133,Humpback whale ,"(Baulch & Perry, 2014)",0,2,Natl,8.002739726,01/01/2005,31/12/2012,100,110,100,lc,"Megaptera novaeangliae (Borowski, 1781)",50.82472222,-5.040833333
205,Sperm whale ,"(Baulch & Perry, 2014)",0,5,Natl,8.002739726,01/01/2005,31/12/2012,100,110,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",50.82472222,-5.040833333
6,Atlantic spotted dolphin,"(Díaz-Delgado et al., 2018)",1,9,Natl,7.002739726,01/01/2006,31/12/2012,100,110,100,lc,"Stenella frontalis (Cuvier, 1829)",28.68166667,-16.88305556
17,Black noddy ,"(Rapp et al., 2017)",0,9,Npac,8.002739726,01/01/2006,31/12/2013,100,110,110,lc,"Anous minutus (Boie, 1844)",23.87055556,-166.2838889
21,blue marlin ,"(Varghese et al., 2014)",0,28,Ind,3.947945205,01/01/2006,12/12/2009,100,100,100,vu,Makaira nigricans ,16,71
35,Brown booby  ,"(Rapp et al., 2017)",1,2,Npac,8.002739726,01/01/2006,31/12/2013,100,110,110,lc,"Sula leucogaster (Boddaert, 1783)",23.87055556,-166.2841667
43,Brown noddy ,"(Rapp et al., 2017)",1,18,Npac,8.002739726,01/01/2006,31/12/2013,100,110,110,lc,"Anous stolidus (Linnaeus, 1758)",23.87055556,-166.2841667
87,Green turtle,"(Macedo et al., 2011)",20,36,Satl,1.747945205,01/01/2006,01/10/2007,100,100,100,en,"Chelonia mydas (Linnaeus, 1758)",-10.53527778,-36.64833333
124,Hawksbill turtle ,"(Macedo et al., 2011)",20,36,Satl,1.747945205,01/01/2006,01/10/2007,100,100,100,cr,"Eretmochelys imbricata (Linneaus, 1766)",-12.16777778,-37.69638889
125,Hawksbill turtle ,"(Macedo et al., 2011)",7,9,Spac,1.747945205,01/01/2006,01/10/2007,100,100,100,cr,"Eretmochelys imbricata (Linneaus, 1766)",-12.16777778,-37.69638889
183,Masked booby,"(Rapp et al., 2017)",1,2,Npac,8.002739726,01/01/2006,31/12/2013,100,110,110,lc,"Sula dactylatra (Lesson, 1831)",23.87055556,-166.2841667
186,Red- footed booby,"(Rapp et al., 2017)",1,19,Npac,8.002739726,01/01/2006,31/12/2013,100,110,110,lc,"Sula sula (Linnaeus, 1766) ",23.87055556,-166.2841667
200,Sooty tern (aka Wideawake tern),"(Rapp et al., 2017)",0,14,Npac,8.002739726,01/01/2006,31/12/2013,100,110,110,lc,"Onychoprion fuscatus (Linnaeus, 1766)",23.87055556,-166.2841667
219,Swordfish,"(Varghese et al., 2014)",0,24,Ind,3.947945205,01/01/2006,12/12/2009,100,100,100,lc,"Xiphias gladius (Linnaeus, 1758)",15,71
14,bigeye tuna,"(Choy & Drazen, 2013)",3,35,Npac,6.002739726,01/01/2007,31/12/2012,100,110,110,vu,Thunnus obesus ,21.68305556,-156.6258333
73,Green turtle,"(Godoy & Stockin, 2018)",12,35,Spac,7.002739726,01/01/2007,31/12/2013,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-44.46083333,172.0283333
194,Skipjack tuna ,"(Choy & Drazen, 2013)",0,29,Npac,6.002739726,01/01/2007,31/12/2012,100,110,110,lc,Katsuwonus pelamis ,21.68305556,-156.6258333
208,Sperm whale ,"(Baulch & Perry, 2014)",2,5,Npac,2,01/01/2007,31/12/2008,100,100,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",41.40416667,-125.0713889
211,Sperm whale ,"(Carretta et al., 2013)",2,7,Npac,5,01/01/2007,31/12/2011,100,110,100,vu,"Physeter macrocephalus (Linnaeus, 1758)",40.24777778,-124.8022222
217,Swordfish,"(Choy & Drazen, 2013)",1,31,Npac,5.920547945,01/01/2007,01/12/2012,100,110,100,lc,"Xiphias gladius (Linnaeus, 1758)",21.68305556,-156.6258333
236,Yellowfin tuna ,"(Choy & Drazen, 2013)",0,26,Npac,6.002739726,01/01/2007,31/12/2012,100,110,110,lc,Thunnus albacares ,21.68305556,-156.6258333
1,Atlantic bluefin tuna ,"(De la Serna et al., 2012)",41,595,Med,3,01/01/2008,31/12/2010,100,110,110,lc,Thunnus thynnus ,36.02444444,-5.136944444
74,Green turtle,"(González Carman et al., 2014)",17,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
75,Green turtle,"(González Carman et al., 2014)",23,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
76,Green turtle,"(González Carman et al., 2014)",3,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
77,Green turtle,"(González Carman et al., 2014)",37,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
78,Green turtle,"(González Carman et al., 2014)",4,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
79,Green turtle,"(González Carman et al., 2014)",46,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
80,Green turtle,"(González Carman et al., 2014)",53,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",28.96972222,-113.5383333
81,Green turtle,"(González Carman et al., 2014)",9,62,Satl,4,01/01/2008,31/12/2011,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-35.02527778,-56.79611111
72,Green turtle,"(Gama et al., 2016)",82,120,Satl,5.920547945,01/07/2008,01/06/2014,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-25.49527778,-48.52472222
64,Green turtle,"(da Silva Mendes et al., 2015)",9,20,Natl,1,01/08/2008,01/08/2009,100,100,100,en,"Chelonia mydas (Linnaeus, 1758)",-23.77972222,-45.67027778
54,Green turtle," (R. G. Santos, Andrades, et al., 2015)",165,265,Satl,5,01/01/2009,31/12/2013,100,110,110,en,"Chelonia mydas (Linnaeus, 1758)",-18.39138889,-38.95666667
